NODE_ID,STATE_NAME,NEM_REGION,NEM_ZONE,VOLTAGE_KV,RRN,PROP_REG_D,LATITUDE,LONGITUDE
125,South Australia,SA1,NSA,132,0,6.613185160440263e-05,-34.00102479,138.910931499
126,South Australia,SA1,NSA,132,0,0.000721092217695482,-34.0017433789999,138.910926254
127,South Australia,SA1,ADE,132,0,0.00810449476266414,-34.833608515,138.806362843
128,South Australia,SA1,ADE,275,0,0.061443243361827965,-34.910803824,138.682017722
129,South Australia,SA1,ADE,275,0,0.0011391057024582826,-34.7655537209999,138.506911921
130,South Australia,SA1,ADE,275,1,0.004261768685769284,-34.779593317,138.509270688
131,New South Wales,NSW1,NCEN,132,0,0.005222474675933693,-33.4302198729999,149.521361225
132,New South Wales,NSW1,NCEN,132,0,0.0007017059591565733,-33.687299853,149.856773096
133,New South Wales,NSW1,NCEN,132,0,0.002648994946335134,-33.2742118159999,149.108416319
134,New South Wales,NSW1,NCEN,132,0,0.002795016249745488,-33.2796915,149.1059045
135,Queensland,QLD1,SEQ,110,0,0.008569739941108722,-27.7204705,153.209126
136,Tasmania,TAS1,TAS,110,0,0.023149369908849592,-43.0573118089999,147.26129062
137,Tasmania,TAS1,TAS,110,0,0.014248742560916653,-43.0229495,147.0739325
138,New South Wales,NSW1,NCEN,330,0,0.0004931993655371782,-34.72380026,150.481713906
139,Victoria,VIC1,MEL,220,0,0.009358947834568847,-37.82519109,144.929430749
140,Victoria,VIC1,MEL,220,0,0.0446414467364431,-37.7726698179999,144.984333275
141,Victoria,VIC1,MEL,500,0,0.05209250595388468,-37.676163151,144.747212622
142,Victoria,VIC1,MEL,500,0,0.03863546426794042,-37.7382385929999,144.846176377
143,Victoria,VIC1,MEL,220,0,0.0014435852937750035,-37.7299527769999,144.011535365
144,Victoria,VIC1,MEL,220,0,0.028364992718677626,-37.800340514,144.934853281
145,Victoria,VIC1,MEL,220,0,0.009505953822261045,-37.838848,144.7893805
146,Victoria,VIC1,MEL,220,0,0.014049901671708342,-37.8259672,144.861785603
147,Victoria,VIC1,MEL,220,0,0.006021892848845736,-37.841462,144.894197
148,Queensland,QLD1,NQ,275,0,0.003123022825032487,-16.95595307,145.751813602
149,Queensland,QLD1,NQ,132,0,0.005751001401374259,-16.9462543879999,145.755062506
150,Queensland,QLD1,NQ,132,0,8.188628153869871e-05,-16.692974326,145.346710291
151,Queensland,QLD1,NQ,132,0,0.009377739717643984,-16.977650866,145.754860709
152,Queensland,QLD1,NQ,132,0,0.007238374675769878,-16.8661354999999,145.687427
153,Queensland,QLD1,NQ,132,0,0.005499251142668604,-16.9266709999999,145.7767665
154,Queensland,QLD1,NQ,132,0,0.00017718981063206014,-16.693981935,145.342592595
155,Queensland,QLD1,NQ,132,0,0.0019273101660854358,-16.5308525,145.4577345
156,Queensland,QLD1,NQ,132,0,0.003977934036825185,-16.850199,145.646495
157,Tasmania,TAS1,TAS,110,0,0.00717211704394897,-41.121524865,146.847628081
158,Queensland,QLD1,CQ,132,0,0.001575174091686441,-23.8845655,151.2740445
159,New South Wales,NSW1,NCEN,132,0,0.004019335468738861,-33.786724675,151.13291284
160,Queensland,QLD1,SEQ,132,0,0.015129016643236643,-27.9044024999999,153.311482
161,New South Wales,NSW1,NCEN,132,0,0.004191254316466691,-33.8824482869999,151.212041103
162,New South Wales,NSW1,NCEN,330,0,0.0005949671794084077,-33.209869,151.544785
163,New South Wales,NSW1,NCEN,132,0,0.002545975425209787,-33.9123253889999,151.194462962
164,New South Wales,NSW1,NCEN,132,0,0.001582097682246072,-33.727418524,151.199155099
165,Queensland,QLD1,SEQ,110,0,0.002622353878385672,-27.717463972,153.322146215
166,New South Wales,NSW1,NCEN,330,0,0.00140205687498018,-33.6556305,151.0301025
167,New South Wales,NSW1,NCEN,132,0,0.004204164501463617,-33.9066129039999,151.183085312
168,South Australia,SA1,NSA,275,0,0.002247285914169207,-34.4673800319999,138.754839061
169,Queensland,QLD1,SEQ,275,0,0.010793729457792124,-27.5370354999999,153.115188
170,Queensland,QLD1,CQ,132,0,0.0011004008817597488,-23.552451837,145.314186118
171,Queensland,QLD1,CQ,132,0,0.0017889643262177092,-23.55141198,145.312255011
172,Queensland,QLD1,SEQ,110,0,0.007139632908579774,-27.557618625,152.945134037
173,Queensland,QLD1,SEQ,275,0,0.0004086033503549976,-27.5771631179999,152.771641864
174,Queensland,QLD1,SEQ,275,0,0.001089277580102759,-27.552941,152.9993215
175,Queensland,QLD1,SEQ,110,0,0.000229751141815271,-27.6582579999999,152.8120075
176,New South Wales,NSW1,NCEN,132,0,0.006820014193374155,-33.3293950529999,151.420808893
177,Queensland,QLD1,SEQ,110,0,0.0030607918128287737,-28.0689711389999,153.377070195
178,Queensland,QLD1,CQ,275,0,0.0011308861503216581,-22.820716165,149.403959814
179,New South Wales,NSW1,NCEN,330,0,0.006314457911827907,-33.9326727609999,150.865773123
180,New South Wales,NSW1,NCEN,132,0,0.0012981442869489752,-33.883242233,150.596540611
181,New South Wales,NSW1,NCEN,132,0,0.016770245868926604,-33.850588498,150.957635498
182,New South Wales,NSW1,NCEN,132,0,0.006132298332878181,-33.7586704999999,150.839003
183,New South Wales,NSW1,NCEN,132,0,0.0022509559938477908,-33.724143711,150.940077943
184,New South Wales,NSW1,NCEN,132,0,0.004395453478746437,-33.74421609,150.949565422
185,New South Wales,NSW1,NCEN,132,0,0.0028278693472871376,-33.770737937,150.87802735
186,New South Wales,NSW1,NCEN,132,0,0.004618173915723196,-33.8144854999999,150.998996939
187,New South Wales,NSW1,NCEN,330,0,0.0017011827933049734,-33.8347229199999,150.919146447
188,New South Wales,NSW1,NCEN,132,0,0.00409760311534813,-33.841977893,150.881374868
189,New South Wales,NSW1,NCEN,132,0,0.026629927712841225,-33.7545879579999,151.244131251
190,Tasmania,TAS1,TAS,110,0,0.00029998528106019206,-42.1251965,146.745081
191,Victoria,VIC1,MEL,500,0,0.0163989411443654,-37.929279559,145.227283119
192,Victoria,VIC1,MEL,220,0,0.03665483176853937,-37.7480699399999,145.170535798
193,Victoria,VIC1,MEL,220,0,0.06594379631806836,-37.8208346829999,145.215577224
194,Victoria,VIC1,MEL,220,1,0.05202649109639344,-37.693699091,145.009928981
195,Victoria,VIC1,MEL,500,0,0.0371564343628801,-37.6444821589999,145.078435612
196,Victoria,VIC1,MEL,220,0,0.02810709645889654,-37.940958253,145.236340595
197,Victoria,VIC1,MEL,220,0,0.044590966062005424,-37.9411279999999,145.078232
198,Victoria,VIC1,NVIC,220,0,0.00234565779702511,-37.2237077789999,145.920919502
199,Victoria,VIC1,NVIC,220,0,0.001746818075721817,-37.2220053349999,145.921452358
200,Victoria,VIC1,MEL,220,0,0.0341595257041616,-37.928182168,145.146100668
201,Tasmania,TAS1,TAS,110,0,0.0005001545195706296,-41.777035,145.539544
202,Tasmania,TAS1,TAS,110,0,0.000947063916784272,-41.9099255,145.5660745
203,New South Wales,NSW1,CAN,132,0,0.00015899178008528414,-36.294529639,148.50932506
