LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES,LENGTH_KM,VOLTAGE_KV
l_71,Burton Downs to Burton Downs Tee,838,95,5.5790667359962295e-05,0.00011639044382042491,3.158872354185187e-05,1,0.05786289214761804,132
l_72,Coppabella Tee to Nebo,839,840,0.06781541362906576,0.14147645948069532,0.038397145156614944,1,70.33427184957392,132
l_73,Burton Downs Tee to Kemmis,838,835,0.021609683496596175,0.0450821037282075,0.012235421264933165,1,22.412328883612606,132
l_74,Nebo 275 to Nebo 132,840,622,4.3588327660458536e-05,0.00010025423707374949,0.00042169554829076347,1,0.19621233805489144,275
l_75,Nebo to Strathmore,327,622,0.036183154948451896,0.08322215576921603,0.35005415862097244,2,162.87804124861154,275
l_76,Nebo to Strathmore,327,622,0.03618044986614271,0.08321593401266594,0.35002798828527093,1,162.86586435280012,275
l_78,Collinsville Power Station to Strathmore,328,327,0.006179703331136208,0.012892091947006737,0.0034989533076998608,1,6.409235169149839,132
l_79,Stony Creek to North Goonyella Tee,489,834,0.03868789491225281,0.08071065417200105,0.02190511916472256,1,40.12487386613649,132
l_80,Collinsville Power Station to Stony Creek,489,328,0.08746373809429106,0.18246677762979213,0.04952204326167008,1,90.7123912235076,132
l_81,Goonyella Rivers to Moranbah,842,836,0.029597976278208264,0.06174727348178823,0.016758399465240638,1,30.69732968282743,132
l_82,Newlands to Goonyella Riverside,842,329,0.0829633250917492,0.17307801976888576,0.04697390557326036,1,86.04482002372846,132
l_83,Lilyvale to Broadsound,259,178,0.02416340753705528,0.055576437953758405,0.23376903719009307,1,108.77129136844079,275
l_84,Lilyvale to Clermont,767,259,0.08834369088623878,0.1843025344121051,0.05002027328454063,1,91.62502797629908,132
l_85,Barcaldine to Barcaldine Power Station,170,171,0.00022018343117205722,0.0004593464908865905,0.0001246680469139164,1,0.22836167290130507,132
l_86,Middle Ridge 275 to Middle Ridge 110,559,563,0.00040574683708633077,0.0008258921006627163,0.0001135502979389805,1,0.2922343290919406,110
l_87,Darling Downs Power Station to Braemar,660,668,0.00015000353072625923,0.0003450118492380732,0.001451210095232519,2,0.6752391078079376,275
l_88,Darling Downs Power Station to Braemar,660,668,0.00015652018227359105,0.0003600003097782991,0.0015142554813431875,2,0.7045737371690667,275
l_91,Columboola to Roma,812,819,0.002488198766319858,0.0051908781957541675,0.00140882026808055,2,2.58061757764031,132
l_93,Clare South to Kings Creek Tee,68,326,0.06602679327749986,0.13774504119165012,0.037384426784877155,1,68.479217027807,132
l_94,Collinsville to Kings Creek Tee,328,326,0.041093500323370634,0.08572922617886237,0.023267175004497605,1,42.61983033538154,132
