DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,NTNDP_HEAT_RATE_ID,COMMENT
GRANGEAV,GRANGEAV,Grange Avenue Landfill Gas Power Station,NSW1,2,Landfill biogas methane,NON-SCHEDULED,,
GROSV1,GROSV1,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,21,Coal mine waste gas,NON-SCHEDULED,,
GSTONE1,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,GSTONE1,
GSTONE2,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,GSTONE2,
GSTONE3,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,GSTONE3,
GSTONE4,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,GSTONE4,
GSTONE5,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,GSTONE5,
GSTONE6,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,GSTONE6,
GULLRWF1,GULLRGWF,Gullen Range Wind Farm,NSW1,166,Wind,SEMI-SCHEDULED,Gullen Range,
GUNNING1,GUNNING,Gunning Wind Farm,NSW1,47,Wind,SEMI-SCHEDULED,GUNNING1,
GUTHEGA,SNOWY3,Guthega Power Station,NSW1,60,Hydro,SCHEDULED,,
GUTHNL1,SNOWY3,Guthega Power Station,NSW1,25,Hydro,NON-SCHEDULED,,
HALAMRD1,HALAMRD,HALLAM ROAD RENEWABLE ENERGY FACILITY,VIC1,9,Landfill biogas methane,NON-SCHEDULED,,
HALLWF1,HALLWF,Hallett 1 Wind Farm,SA1,95,Wind,SEMI-SCHEDULED,HALLWF1,
HALLWF2,HALLWF2,Hallett 2 Wind Farm,SA1,71,Wind,SEMI-SCHEDULED,HALLWF2,
HDWF1,HORNSDAL,Hornsdale Wind Farm,SA1,102,Wind,SEMI-SCHEDULED,HALLWF1,Assume Hallet 1 Wind Farm and Hornsdale Wind Farm have similar heat rates
HDWF2,HORNSDAL2,Hornsdale Wind Farm 2,SA1,102,Wind,SEMI-SCHEDULED,HALLWF1,Assume Hallet 2 Wind Farm and Hornsdale Wind Farm have similar heat rates
HEPWIND1,HEPWIND,Hepburn Community Wind Farm,VIC1,4,Wind,NON-SCHEDULED,CHALLHWF,Assume Hepburn Community Wind Farm and Challicum Hills Wind Farm have similar heat rates
HLMSEW01,HLMSEW01,South East Water - Halllam Hydro Plant,VIC1,1,Hydro,NON-SCHEDULED,,
HUMENSW,HUMENSW,Hume (NSW) Hydro Power Station,NSW1,29,Hydro,SCHEDULED,,
HUMEV,HUMEV,Hume (Vic) Hydro Power Station,VIC1,29,Hydro,SCHEDULED,,
HVGTS,HUNTVGT,Hunter Valley Gas Turbine,NSW1,50,Kerosene - non aviation,SCHEDULED,HVGTS1,
ICSM,ICSM,ISIS Central Sugar Mill Co-generation Plant,QLD1,25,Bagasse,NON-SCHEDULED,,
INVICTA,INVICTA,Invicta Sugar Mill,QLD1,50,,NON-SCHEDULED,,
JACKSGUL,JACKSGUL,Jacks Gully Landfill Gas Power Station,NSW1,2,Landfill biogas methane,NON-SCHEDULED,,
JBUTTERS,JBUTTERS,John Butters Power Station,TAS1,144,Hydro,SCHEDULED,,
JLA01,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,JLA01,
JLA02,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,JLA02,
JLA03,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,JLA03,
JLA04,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,JLA04,
JLB01,JEERB,"Jeeralang ""B"" Power Station",VIC1,76,Natural Gas (Pipeline),SCHEDULED,JLB01,
JLB02,JEERB,"Jeeralang ""B"" Power Station",VIC1,76,Natural Gas (Pipeline),SCHEDULED,JLB02,
