DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,GA_POWER_STATION_PLACEMARK_ID,GA_STATION_NAME,COMMENT
CPP_4,CALLIDEC,CALLIDE C NETT OFF,QLD1,420,Black coal,SCHEDULED,kml_210,Callide C,
CPSA,CPSA,Condamine Power Station A,QLD1,144,Natural Gas (Pipeline),SCHEDULED,kml_188,Condamine A,
CULLRGWF,CULLERIN,Cullerin Range Wind Farm,NSW1,30,Wind,NON-SCHEDULED,kml_84,Cullerin Range Wind Farm,
DAANDINE,DAANDINE,Daandine Power Station,QLD1,33,Coal seam methane,NON-SCHEDULED,kml_189,Daandine,
DARTM1,DARTM,DARTMOUTH POWER STATION,VIC1,150,Hydro,SCHEDULED,kml_24,Dartmouth (Mount Beauty Hydro Scheme),
DDPS1,DDPS1,Darling Downs Power Station,QLD1,644,Natural Gas (Pipeline),SCHEDULED,kml_190,Darling Downs,
DEVILS_G,DEVILS_G,Devils Gate Power Station,TAS1,60,Hydro,SCHEDULED,kml_10,Devils Gate,
DG_NSW1,DG_NSW1,NSW1 Dummy Generator,NSW1,3000,,SCHEDULED,,,
DG_QLD1,DG_QLD1,QLD1 Dummy Generator,QLD1,3000,,SCHEDULED,,,
DG_SA1,DG_SA1,SA1 Dummy Generator,SA1,3000,,SCHEDULED,,,
DG_TAS1,DG_TAS1,TAS1 Dummy Generator,TAS1,3000,,SCHEDULED,,,
DG_VIC1,DG_VIC1,VIC1 Dummy Generator,VIC1,3000,,SCHEDULED,,,
DRYCGT1,DRYCGT,Dry Creek Gas Turbine Station,SA1,52,Natural Gas (Pipeline),SCHEDULED,kml_44,Dry Creek,
DRYCGT2,DRYCGT,Dry Creek Gas Turbine Station,SA1,52,Natural Gas (Pipeline),SCHEDULED,kml_44,Dry Creek,
DRYCGT3,DRYCGT,Dry Creek Gas Turbine Station,SA1,52,Natural Gas (Pipeline),SCHEDULED,kml_44,Dry Creek,
DRYCNL,DRYCGT,Dry Creek Gas Turbine Station,SA1,25,Natural Gas (Pipeline),NON-SCHEDULED,kml_44,Dry Creek,
EASTCRK,EASTCRK,Eastern Creek LFG PS Units 1-4,NSW1,5,Landfill biogas methane,NON-SCHEDULED,kml_114,Eastern Creek,
EASTCRK2,EASTCRK2,Eastern Creek 2 Gas Utilisation Facility,NSW1,10,,NON-SCHEDULED,kml_113,Eastern Creek 2,
EDLRGNRD,EDLRGNRD,Roghan Road LFG Power Plant,QLD1,2,Landfill biogas methane,NON-SCHEDULED,kml_137,Roghan Road,
EILDON1,EILDON,EILDON POWER STATION,VIC1,60,Hydro,SCHEDULED,kml_27,Eildon,
EILDON2,EILDON,EILDON POWER STATION,VIC1,60,Hydro,SCHEDULED,kml_27,Eildon,
EILDON3,EILDONPD,Eildon Power Station,VIC1,5,Hydro,NON-SCHEDULED,kml_336,Eildon Small Hydro,
ER01,ERARING,ERARING POWER STATION,NSW1,720,Black coal,SCHEDULED,kml_308,Eraring,
ER02,ERARING,ERARING POWER STATION,NSW1,720,Black coal,SCHEDULED,kml_308,Eraring,
ER03,ERARING,ERARING POWER STATION,NSW1,720,Black coal,SCHEDULED,kml_308,Eraring,
ER04,ERARING,ERARING POWER STATION,NSW1,720,Black coal,SCHEDULED,kml_308,Eraring,
ERGT01,ERGT01,Eraring Power Station,NSW1,42,Black coal,NON-SCHEDULED,kml_275,Eraring,
ERNL1,ERARING,ERARING POWER STATION,NSW1,25,Black coal,NON-SCHEDULED,kml_308,Eraring,
FISHER,FISHER,Fisher Power Station,TAS1,43,Hydro,SCHEDULED,kml_177,Fisher,
GB01,BHILLGT,Broken Hill Gas Turbines,NSW1,50,Natural Gas (Pipeline),NON-SCHEDULED,kml_307,Broken Hill,
GERMCRK,GERMCRK,German Creek Power Station,QLD1,45,Landfill biogas methane,NON-SCHEDULED,kml_191,German Creek,
GLADNL1,G/STONE,GLADSTONE POWER STATION,QLD1,25,Black coal,NON-SCHEDULED,kml_192,Gladstone,
GLBWNHYD,GLBWNHYD,Glenbawn Hydro Power Station,NSW1,6,Hydro,NON-SCHEDULED,kml_277,Glenbawn,
GLENMAG1,GLENMAGG,Glenmaggie Hydro Power Station,VIC1,4,Hydro,NON-SCHEDULED,kml_145,Lake Glenmaggie,
GLENNCRK,GLENNCRK,Glennies Creek Power Station,NSW1,13,,NON-SCHEDULED,kml_278,Glennies Creek,
GORDON,GORDON,Gordon Power Station,TAS1,432,Hydro,SCHEDULED,kml_2,Gordon,
GOVILLB1,GORDON,Gordon Power Station,TAS1,25,Hydro,NON-SCHEDULED,kml_2,Gordon,
GRANGEAV,GRANGEAV,Grange Avenue Landfill Gas Power Station,NSW1,2,Landfill biogas methane,NON-SCHEDULED,kml_111,Grange Avenue,
GROSV1,GROSV1,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,21,Coal mine waste gas,NON-SCHEDULED,kml_205,Tarong,Grosvenor 1 Waste Coal Mine Gas Power Station is close to TARONG POWER STATION
GSTONE1,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,kml_192,Gladstone,
GSTONE2,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,kml_192,Gladstone,
GSTONE3,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,kml_192,Gladstone,
GSTONE4,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,kml_192,Gladstone,
GSTONE5,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,kml_192,Gladstone,
GSTONE6,G/STONE,GLADSTONE POWER STATION,QLD1,280,Black coal,SCHEDULED,kml_192,Gladstone,
GULLRWF1,GULLRGWF,Gullen Range Wind Farm,NSW1,166,Wind,SEMI-SCHEDULED,kml_477,Gullen Range Wind Farm,
GUNNING1,GUNNING,Gunning Wind Farm,NSW1,47,Wind,SEMI-SCHEDULED,kml_477,Gullen Range Wind Farm,
GUTHEGA,SNOWY3,Guthega Power Station,NSW1,60,Hydro,SCHEDULED,kml_305,Guthega,
GUTHNL1,SNOWY3,Guthega Power Station,NSW1,25,Hydro,NON-SCHEDULED,kml_305,Guthega,
HALAMRD1,HALAMRD,HALLAM ROAD RENEWABLE ENERGY FACILITY,VIC1,9,Landfill biogas methane,NON-SCHEDULED,kml_32,Hallam Road,
HALLWF1,HALLWF,Hallett 1 Wind Farm,SA1,95,Wind,SEMI-SCHEDULED,kml_54,Hallett 1 Brown Hill  Wind Farm,
HALLWF2,HALLWF2,Hallett 2 Wind Farm,SA1,71,Wind,SEMI-SCHEDULED,kml_56,Hallett 2 Hallet Hill  Wind Farm,
HDWF1,HORNSDAL,Hornsdale Wind Farm,SA1,102,Wind,SEMI-SCHEDULED,kml_54,Hallett 1 Brown Hill  Wind Farm,Hornsdale Wind Farm is close to Hallett 1 Brown Hill  Wind Farm
HDWF2,HORNSDAL2,Hornsdale Wind Farm 2,SA1,102,Wind,SEMI-SCHEDULED,kml_54,Hallett 1 Brown Hill  Wind Farm,Hornsdale Wind Farm 2 is close to Hallett 1 Brown Hill  Wind Farm
HEPWIND1,HEPWIND,Hepburn Community Wind Farm,VIC1,4,Wind,NON-SCHEDULED,,,
HLMSEW01,HLMSEW01,South East Water - Halllam Hydro Plant,VIC1,1,Hydro,NON-SCHEDULED,kml_338,South East Water Hallam Plant,
HUMENSW,HUMENSW,Hume (NSW) Hydro Power Station,NSW1,29,Hydro,SCHEDULED,kml_41,Hume,
HUMEV,HUMEV,Hume (Vic) Hydro Power Station,VIC1,29,Hydro,SCHEDULED,kml_41,Hume,No Hume power station in Victoria within Geoscience Australia dataset. Assuming that HUMEV at same location as HUMENSW.
HVGTS,HUNTVGT,Hunter Valley Gas Turbine,NSW1,50,Kerosene - non aviation,SCHEDULED,kml_280,Hunter Valley,
ICSM,ICSM,ISIS Central Sugar Mill Co-generation Plant,QLD1,25,Bagasse,NON-SCHEDULED,kml_193,Isis Central Sugar Mill,
INVICTA,INVICTA,Invicta Sugar Mill,QLD1,50,,NON-SCHEDULED,kml_124,Invicta Sugar Mill,
JACKSGUL,JACKSGUL,Jacks Gully Landfill Gas Power Station,NSW1,2,Landfill biogas methane,NON-SCHEDULED,kml_109,Jacks Gully,
JBUTTERS,JBUTTERS,John Butters Power Station,TAS1,144,Hydro,SCHEDULED,kml_3,John Butters,
JLA01,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,kml_35,Jeeralang A,
JLA02,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,kml_35,Jeeralang A,
JLA03,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,kml_35,Jeeralang A,
JLA04,JEERA,"Jeeralang ""A"" Power Station",VIC1,51,Natural Gas (Pipeline),SCHEDULED,kml_35,Jeeralang A,
JLB01,JEERB,"Jeeralang ""B"" Power Station",VIC1,76,Natural Gas (Pipeline),SCHEDULED,kml_34,Jeeralang B,
JLB02,JEERB,"Jeeralang ""B"" Power Station",VIC1,76,Natural Gas (Pipeline),SCHEDULED,kml_34,Jeeralang B,
JLB03,JEERB,"Jeeralang ""B"" Power Station",VIC1,76,Natural Gas (Pipeline),SCHEDULED,kml_34,Jeeralang B,
JNDABNE1,JNDSHPS,Jindabyne Small Hydro Power Station,NSW1,1,Hydro,NON-SCHEDULED,kml_95,Jindabyne Dam Mini Hydro,
JOUNAMA1,JOUNAMA,Jounama Small Hydro Power Station,NSW1,14,Hydro,NON-SCHEDULED,kml_108,Jounama,
KAREEYA1,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,kml_195,Kareeya,
KAREEYA2,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,kml_195,Kareeya,
KAREEYA3,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,kml_195,Kareeya,
KAREEYA4,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,kml_195,Kareeya,
KAREEYA5,KAREEYA,KAREEYA POWER STATION,QLD1,7,Hydro,NON-SCHEDULED,kml_195,Kareeya,
KEEPIT,KEEPIT,Keepit Hydro Power Station,NSW1,6,Hydro,NON-SCHEDULED,kml_306,Lake Keepit,
KINCUM1,KINCUMB,Kincumber Landfill Site,NSW1,1,Landfill biogas methane,NON-SCHEDULED,,,
KPP_1,KOGANCK,Kogan Creek Power Station,QLD1,744,Black coal,SCHEDULED,kml_196,Kogan Creek,
L_W_CNL1,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,25,Hydro,NON-SCHEDULED,kml_171,Catagunya,
LADBROK1,LADBROKE,Ladbroke Grove Power Station,SA1,40,Natural Gas (Pipeline),SCHEDULED,kml_252,Ladbroke Grove,
LADBROK2,LADBROKE,Ladbroke Grove Power Station,SA1,40,Natural Gas (Pipeline),SCHEDULED,kml_252,Ladbroke Grove,
LD01,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,kml_282,Liddell,
LD02,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,kml_282,Liddell,
LD03,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,kml_282,Liddell,
LD04,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,kml_282,Liddell,
LEM_WIL,LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,82,Hydro,SCHEDULED,kml_175,Lemonthyme,
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,170,Hydro,SCHEDULED,kml_171,Catagunya,
LIDDNL1,LIDDELL,Liddell Power Station,NSW1,25,Black coal,NON-SCHEDULED,kml_282,Liddell,
LK_ECHO,LK_ECHO,Lake Echo Power Station,TAS1,32,Hydro,SCHEDULED,kml_15,Lake Echo,
LKBONNY1,LKBONNY1,Lake Bonney Wind Farm Stage 1,SA1,81,Wind,NON-SCHEDULED,kml_478,Lake Bonney Stage 1 Wind Farm,
LKBONNY2,LKBONNY_2,Lake Bonney Stage 2 Windfarm,SA1,159,Wind,SEMI-SCHEDULED,kml_130,Lake Bonney Stage 2 Wind Farm,
LKBONNY3,LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,39,Wind,SEMI-SCHEDULED,kml_479,Lake Bonney Stage 3 Wind Farm,
LNGS1,LNGS,Laverton North Power Station,VIC1,156,Natural Gas (Pipeline),SCHEDULED,kml_28,Laverton North,
LNGS2,LNGS,Laverton North Power Station,VIC1,156,Natural Gas (Pipeline),SCHEDULED,kml_28,Laverton North,
LONGFORD,LONGFORD,LONGFORD PLANT,VIC1,44,Natural Gas (Pipeline),NON-SCHEDULED,kml_147,Longford,
LONSDALE,LONSDALE,Lonsdale Power Station,SA1,21,Diesel oil,SCHEDULED,kml_248,Lonsdale,
LOYYB1,LOYYB,LOY YANG B POWER STATION,VIC1,500,Brown coal,SCHEDULED,kml_37,Loy Yang B,
LOYYB2,LOYYB,LOY YANG B POWER STATION,VIC1,500,Brown coal,SCHEDULED,kml_37,Loy Yang B,
LUCAS2S2,LUCAS2S2,Lucas Heights 2 Power Station,NSW1,5,Landfill biogas methane,NON-SCHEDULED,kml_106,Lucas Heights II,
LUCASHGT,LUCAS2S2,Lucas Heights 2 Power Station,NSW1,13,Landfill biogas methane,NON-SCHEDULED,kml_106,Lucas Heights II,
LYA1,LOYYANGA,LOY YANG A POWER STATION,VIC1,560,Brown coal,SCHEDULED,kml_36,Loy Yang A,
LYA2,LOYYANGA,LOY YANG A POWER STATION,VIC1,530,Brown coal,SCHEDULED,kml_36,Loy Yang A,
