DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE
MP1,MP,MT PIPER POWER STATION,NSW1,700.0,Black coal,SCHEDULED
TOWER,TOWER,Tower Power Plant,NSW1,41.0,Coal seam methane,NON-SCHEDULED
DG_QLD1,DG_QLD1,QLD1 Dummy Generator,QLD1,3000.0,,SCHEDULED
TORRB4,TORRIS,TORRENS ISLAND POWER STATION,SA1,200.0,Natural Gas (Pipeline),SCHEDULED
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,168.0,Coal seam methane,SCHEDULED
QPS1,QUARANTN,Quarantine Power Station,SA1,24.0,Natural Gas (Pipeline),SCHEDULED
QPS3,QUARANTN,Quarantine Power Station,SA1,24.0,Natural Gas (Pipeline),SCHEDULED
DARTM1,DARTM,DARTMOUTH POWER STATION,VIC1,150.0,Hydro,SCHEDULED
BROADMDW,BROADMDW,Broadmeadows Landfill Gas Power Station,VIC1,5.0,Landfill biogas methane,NON-SCHEDULED
BROKENH1,BROKENH,Broken Hill Solar Plant,NSW1,53.0,Solar,SEMI-SCHEDULED
QPS2,QUARANTN,Quarantine Power Station,SA1,24.0,Natural Gas (Pipeline),SCHEDULED
MPP_2,MILLMERN,Millmerran Power Plant,QLD1,426.0,Black coal,SCHEDULED
TORRB3,TORRIS,TORRENS ISLAND POWER STATION,SA1,200.0,Natural Gas (Pipeline),SCHEDULED
WKIEWA1,WKIEWA,WEST KIEWA POWER STATION,VIC1,31.0,Hydro,SCHEDULED
DG_NSW1,DG_NSW1,NSW1 Dummy Generator,NSW1,3000.0,,SCHEDULED
TORRB2,TORRIS,TORRENS ISLAND POWER STATION,SA1,200.0,Natural Gas (Pipeline),SCHEDULED
BROOKLYN,BROOKLYN,Brooklyn LFG U1-3,VIC1,3.0,Landfill biogas methane,NON-SCHEDULED
MSTUART1,MSTUART,Mt Stuart Power Station,QLD1,144.0,Kerosene - non aviation,SCHEDULED
DAANDINE,DAANDINE,Daandine Power Station,QLD1,33.0,Coal seam methane,NON-SCHEDULED
HEPWIND1,HEPWIND,Hepburn Community Wind Farm,VIC1,4.0,Wind,NON-SCHEDULED
YABULU,YABULU,Townsville Gas Turbine,QLD1,160.0,Natural Gas (Pipeline),SCHEDULED
PUMP2,WIVENHOE,WIVENHOE POWER STATION,QLD1,240.0,Hydro,SCHEDULED
TARNL1,TARONG,TARONG POWER STATION,QLD1,25.0,Black coal,NON-SCHEDULED
BRAEMAR7,B2PS,BRAEMAR 2 POWER STATION,QLD1,173.0,Coal seam methane,SCHEDULED
VPNL1,VP,"Vales Point ""B"" Power Station",NSW1,25.0,Black coal,NON-SCHEDULED
MPP_1,MILLMERN,Millmerran Power Plant,QLD1,426.0,Black coal,SCHEDULED
JNDABNE1,JNDSHPS,Jindabyne Small Hydro Power Station,NSW1,1.0,Hydro,NON-SCHEDULED
DEVILS_G,DEVILS_G,Devils Gate Power Station,TAS1,60.0,Hydro,SCHEDULED
RACOMIL1,RACOMIL,Racecourse Mill Power Station,QLD1,48.0,,NON-SCHEDULED
HLMSEW01,HLMSEW01,South East Water - Halllam Hydro Plant,VIC1,1.0,Hydro,NON-SCHEDULED
