C,SETP.WORLD,CO2EII_AVAILABLE_GENERATORS,AEMO,PUBLIC,2017/11/03,10:48:27,0000000288829320,,0000000288829319
D,CO2EII,PUBLISHING,1,"MOREE SOLAR FARM",MOREESF1,MOREESF1,NSW1,0,Solar,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"MT PIPER POWER STATION",MP1,MP1,NSW1,0.953950,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"MT PIPER POWER STATION",MP2,MP2,NSW1,0.953950,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"MT PIPER POWER STATION",MPNL1,MPNL1,NSW1,1.1270,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Nine Network Willoughby Plant",NINEWIL1,NINEWIL1,NSW1,0.7080,"Diesel oil","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Nyngan Solar Plant",NYNGAN1,NYNGAN1,NSW1,0,Solar,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Pindari Hydro Power Station",PINDARI,PINDARI,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Royalla Solar Farm",ROYALLA1,ROYALLA1,NSW1,0,Solar,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps)",SHGEN,SH01,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps)",SHGEN,SH02,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps)",SHGEN,SH03,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps)",SHGEN,SH04,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"SMITHFIELD ENERGY FACILITY",SITHE01,SITHE01,NSW1,0.617130,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"SMITHFIELD ENERGY FACILITY",SITHE01,SITHE02,NSW1,0.617130,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"SMITHFIELD ENERGY FACILITY",SITHE01,SITHE03,NSW1,0.617130,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"SMITHFIELD ENERGY FACILITY",SITHE01,SITHE04,NSW1,0.617130,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"St George Leagues Plant",STGEORG1,STGEORG1,NSW1,0.7080,"Diesel oil","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Tahmoor Waste Coal Mine Gas Power Station",TAHMOOR1,TAHMOOR1,NSW1,0.6960,"Coal mine waste gas","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Tallawarra Power Station",TALWA1,TALLA1,NSW1,0.460960,"Natural Gas (Pipeline)","NTNDP 2016"
