C,SETP.WORLD,DVD_DUDETAILSUMMARY,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202742,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,DUID,START_DATE,END_DATE,DISPATCHTYPE,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,LASTCHANGED,TRANSMISSIONLOSSFACTOR,STARTTYPE,DISTRIBUTIONLOSSFACTOR,MINIMUM_ENERGY_PRICE,MAXIMUM_ENERGY_PRICE,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2006/07/01 00:00:00","2007/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",1.0103,"NOT DISPATCHED",1,-1010.30,10103,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2007/07/01 00:00:00","2008/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",1.0066,"NOT DISPATCHED",1,-1006.60,10066,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2008/07/01 00:00:00","2009/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",1.0006,"NOT DISPATCHED",1,-1000.60,10006,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2009/07/01 00:00:00","2010/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",1,"NOT DISPATCHED",1,-1000,10000,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2010/07/01 00:00:00","2011/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",1.0008,"NOT DISPATCHED",1,-1000.80,12510,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2011/07/01 00:00:00","2012/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",0.9972,"NOT DISPATCHED",1,-997.20,12465,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2012/07/01 00:00:00","2013/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",0.9942,"NOT DISPATCHED",1,-994.20,12825.18,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2013/07/01 00:00:00","2014/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",0.9946,"NOT DISPATCHED",1,-994.60,13029.26,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2014/07/01 00:00:00","2015/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",0.9883,"NOT DISPATCHED",1,-988.30,13342.05,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2015/07/01 00:00:00","2016/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/24 12:41:01",0.9916,"NOT DISPATCHED",1,-991.60,13684.08,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2016/07/01 00:00:00","2017/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2017/06/26 10:54:12",0.9986,"NOT DISPATCHED",1,-998.60,13980.40,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2017/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2017/06/26 10:54:12",1.0023,"NOT DISPATCHED",1,-1002.30,14232.66,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSITA1,"2016/11/19 00:00:00","2017/07/01 00:00:00",GENERATOR,NLP13K,NSW1,AGLSITA,SOUTHHYD,"2017/06/26 10:54:12",1.0019,"NOT DISPATCHED",1,-1001.90,14026.60,NON-SCHEDULED,0,0,0,0,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSITA1,"2017/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,NLP13K,NSW1,AGLSITA,SOUTHHYD,"2017/06/26 10:54:12",1.0022,"NOT DISPATCHED",1,-1002.20,14231.24,NON-SCHEDULED,0,0,0,0,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2002/01/10 00:00:00","2002/04/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOLARIS,"2016/06/21 13:42:04",0.9930,FAST,1,-993,4965,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2002/04/01 00:00:00","2002/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOLARIS,"2016/06/21 13:42:04",0.9930,FAST,1,-993,9930,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2002/07/01 00:00:00","2003/10/22 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOLARIS,"2016/06/21 13:42:04",0.9860,FAST,1,-986,9860,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2003/10/22 00:00:00","2004/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOLARIS,"2016/06/21 13:42:04",0.9860,FAST,1,-986,9860,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2004/07/01 00:00:00","2005/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOLARIS,"2016/06/21 13:42:04",1.0113,FAST,1,-1011.30,10113,SCHEDULED,3,3,,,0
