C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2017/07/08,02:15:00,0000000285202929,,0000000285202674
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2017/06/01 02:30:00",1,NSW1,5,7593.76,11154.76,0,-53.05,6615.49,0,-978.27,0,,,61.19,,,,,,,,12,,,,,,,,12,,,,,,,,308.7,,,,,,,,186.85,,,,,,,,205.76,,,,,,"2017/06/01 02:25:03",7676.5,7620.47,,50.48,,,,52.17,,,,,,,,,,,,,,,,,,,5.55,7626.02,121.76
D,TRADING,REGIONSUM,4,"2017/06/01 02:30:00",1,QLD1,5,5133.65,10150,240,-17.58,6142.26,0,1008.61,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,65.62,,,,,,,,40,,,,,,,,40,,,,,,"2017/06/01 02:25:03",5175.75,5160.23,,49.53,,,,29.83,,,,,,,,,,,,,,,,,,,56.33,5216.56,0
D,TRADING,REGIONSUM,4,"2017/06/01 02:30:00",1,SA1,5,1267.52,2889.69,0,-7.09,1187.28,0,-80.24,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/06/01 02:25:03",1279.84,1267.82,,0,,,,0,,,,,,,,,,,,,,,,,,,67.62,1335.44,674.69
D,TRADING,REGIONSUM,4,"2017/06/01 02:30:00",1,TAS1,5,1021.93,2245.41,0,-0.43,817.58,0,-204.35,0,,,51.99,,,,,,,,0,,,,,,,,0,,,,,,,,103.29,,,,,,,,108.65,,,,,,,,72.73,,,,,,"2017/06/01 02:25:03",1031.06,1021.93,,20,,,,48,,,,,,,,,,,,,,,,,,,107.85,1129.78,32.41
D,TRADING,REGIONSUM,4,"2017/06/01 02:30:00",1,VIC1,5,4540.4,8733.28,0,-24.8,4849.28,0,308.88,0,,,80,,,,,,,,64.41,,,,,,,,64.41,,,,,,,,57,,,,,,,,92,,,,,,,,109,,,,,,"2017/06/01 02:25:03",4562.07,4541.43,,0,,,,0,,,,,,,,,,,,,,,,,,,28.45,4569.88,47.28
D,TRADING,REGIONSUM,4,"2017/06/01 03:00:00",1,NSW1,6,7344.15,11163.37,0,-44.07,6336.94,0,-1007.21,0,,,14.55,,,,,,,,12,,,,,,,,12,,,,,,,,248.97,,,,,,,,164.37,,,,,,,,194.7,,,,,,"2017/06/01 02:55:04",7422.22,7369.71,,43.81,,,,50.5,,,,,,,,,,,,,,,,,,,7.12,7376.83,130.37
D,TRADING,REGIONSUM,4,"2017/06/01 03:00:00",1,QLD1,6,5095.52,10129,240,-0.29,6088.91,0,993.39,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,63,,,,,,,,40,,,,,,,,40,,,,,,"2017/06/01 02:55:04",5126.37,5120.96,,52.83,,,,31.5,,,,,,,,,,,,,,,,,,,54.77,5175.73,0
D,TRADING,REGIONSUM,4,"2017/06/01 03:00:00",1,SA1,6,1220.88,2870.16,0,-7.1,1160.09,0,-60.79,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/06/01 02:55:04",1235.23,1221.05,,0,,,,0,,,,,,,,,,,,,,,,,,,70.37,1291.42,655.16
D,TRADING,REGIONSUM,4,"2017/06/01 03:00:00",1,TAS1,6,1011.36,2243.91,0,-0.06,743.18,0,-268.18,0,,,2.13,,,,,,,,0,,,,,,,,0,,,,,,,,167.14,,,,,,,,137.39,,,,,,,,90.06,,,,,,"2017/06/01 02:55:04",1016.14,1011.36,,23.36,,,,48,,,,,,,,,,,,,,,,,,,118.05,1129.41,30.91
D,TRADING,REGIONSUM,4,"2017/06/01 03:00:00",1,VIC1,6,4436.18,8735.78,0,-14.51,4832.59,0,396.41,0,,,178.48,,,,,,,,71.18,,,,,,,,71.18,,,,,,,,57,,,,,,,,92,,,,,,,,109,,,,,,"2017/06/01 02:55:04",4451.27,4438.63,,0,,,,0,,,,,,,,,,,,,,,,,,,35.22,4473.85,49.78
D,TRADING,REGIONSUM,4,"2017/06/01 03:30:00",1,NSW1,7,7148.16,11156.39,198,-30.87,6268.07,198,-1078.09,0,,,14.58,,,,,,,,12,,,,,,,,12,,,,,,,,238.41,,,,,,,,163,,,,,,,,195,,,,,,"2017/06/01 03:25:04",7381.86,7372.48,,45.64,,,,48.5,,,,,,,,,,,,,,,,,,,8.24,7380.72,123.39
