C,SETP.WORLD,DVD_TRADINGINTERCONNECT,AEMO,PUBLIC,2017/07/08,02:20:00,0000000285202926,,0000000285202674
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:00:00",1,N-Q-MNSP1,10,-104.93,-105,0.9,"2017/06/01 04:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:00:00",1,NSW1-QLD1,10,-750.65,-758.72,32.99,"2017/06/01 04:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:00:00",1,T-V-MNSP1,10,-138.93,-127.12,2.2,"2017/06/01 04:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:00:00",1,V-S-MNSP1,10,-11.83,-10.5,-0.35,"2017/06/01 04:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:00:00",1,V-SA,10,34.84,40.43,0.37,"2017/06/01 04:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:00:00",1,VIC1-NSW1,10,185.64,185.08,1.6,"2017/06/01 04:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:30:00",1,N-Q-MNSP1,11,-94.33,-91.33,-0.51,"2017/06/01 05:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:30:00",1,NSW1-QLD1,11,-645.08,-616.28,16.43,"2017/06/01 05:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:30:00",1,T-V-MNSP1,11,-146.98,-152.82,3.04,"2017/06/01 05:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:30:00",1,V-S-MNSP1,11,-7.36,-7.2,-0.26,"2017/06/01 05:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:30:00",1,V-SA,11,60.56,71.36,1.1,"2017/06/01 05:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 05:30:00",1,VIC1-NSW1,11,27.41,-11.04,1.16,"2017/06/01 05:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:00:00",1,N-Q-MNSP1,12,-78.88,-74.77,-1.72,"2017/06/01 05:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:00:00",1,NSW1-QLD1,12,-534.18,-482.98,5.5,"2017/06/01 05:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:00:00",1,T-V-MNSP1,12,-108.42,-96.01,1.36,"2017/06/01 05:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:00:00",1,V-S-MNSP1,12,-7.56,-9,-0.29,"2017/06/01 05:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:00:00",1,V-SA,12,65.35,75.51,1.18,"2017/06/01 05:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:00:00",1,VIC1-NSW1,12,-126.35,-98.44,2.07,"2017/06/01 05:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:30:00",1,N-Q-MNSP1,13,-70.57,-71.67,-1.85,"2017/06/01 06:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:30:00",1,NSW1-QLD1,13,-477.24,-449.36,2.17,"2017/06/01 06:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:30:00",1,T-V-MNSP1,13,112.9,180.64,2.84,"2017/06/01 06:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:30:00",1,V-S-MNSP1,13,-12.65,-16.57,-0.42,"2017/06/01 06:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:30:00",1,V-SA,13,-0.7,11.94,0.03,"2017/06/01 06:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 06:30:00",1,VIC1-NSW1,13,4.79,61.94,-0.66,"2017/06/01 06:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:00:00",1,N-Q-MNSP1,14,-79.8,-78.33,-1.52,"2017/06/01 06:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:00:00",1,NSW1-QLD1,14,-555.32,-527.67,4.78,"2017/06/01 06:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:00:00",1,T-V-MNSP1,14,309.9,342.05,11.63,"2017/06/01 06:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:00:00",1,V-S-MNSP1,14,-8.58,-15,-0.36,"2017/06/01 06:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:00:00",1,V-SA,14,26.51,20.6,0.37,"2017/06/01 06:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:00:00",1,VIC1-NSW1,14,361.18,444.71,7.83,"2017/06/01 06:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:30:00",1,N-Q-MNSP1,15,-76.22,-77,-1.57,"2017/06/01 07:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:30:00",1,NSW1-QLD1,15,-580.82,-528.95,3.16,"2017/06/01 07:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:30:00",1,T-V-MNSP1,15,223.9,177.32,2.69,"2017/06/01 07:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:30:00",1,V-S-MNSP1,15,-7.56,-8.49,-0.25,"2017/06/01 07:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:30:00",1,V-SA,15,56.42,86.96,1.05,"2017/06/01 07:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 07:30:00",1,VIC1-NSW1,15,287.93,304.05,0.47,"2017/06/01 07:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:00:00",1,N-Q-MNSP1,16,-96.52,-101.99,0.61,"2017/06/01 07:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:00:00",1,NSW1-QLD1,16,-736.11,-766.94,24.84,"2017/06/01 07:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:00:00",1,T-V-MNSP1,16,165.28,186.69,3,"2017/06/01 07:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:00:00",1,V-S-MNSP1,16,2.82,-1.5,0.02,"2017/06/01 07:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:00:00",1,V-SA,16,139.15,152.31,3.21,"2017/06/01 07:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:00:00",1,VIC1-NSW1,16,303.03,243.28,-1.5,"2017/06/01 07:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:30:00",1,N-Q-MNSP1,17,-112.42,-113,1.92,"2017/06/01 08:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:30:00",1,NSW1-QLD1,17,-903.78,-897.01,42.68,"2017/06/01 08:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:30:00",1,T-V-MNSP1,17,274.78,263.56,6.41,"2017/06/01 08:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:30:00",1,V-S-MNSP1,17,18.48,15,1.08,"2017/06/01 08:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:30:00",1,V-SA,17,226.06,258.69,9.87,"2017/06/01 08:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 08:30:00",1,VIC1-NSW1,17,-13.4,-86.31,4.36,"2017/06/01 08:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:00:00",1,N-Q-MNSP1,18,-106.87,-107.67,1.24,"2017/06/01 08:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:00:00",1,NSW1-QLD1,18,-881.5,-846.89,37.44,"2017/06/01 08:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:00:00",1,T-V-MNSP1,18,173.03,183.37,2.9,"2017/06/01 08:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:00:00",1,V-S-MNSP1,18,18.28,12,0.9,"2017/06/01 08:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:00:00",1,V-SA,18,244.25,239.06,8.61,"2017/06/01 08:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:00:00",1,VIC1-NSW1,18,-50.26,-19.55,0.99,"2017/06/01 08:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:30:00",1,N-Q-MNSP1,19,-121.15,-123.67,3.51,"2017/06/01 09:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:30:00",1,NSW1-QLD1,19,-1020.54,-982.72,58.99,"2017/06/01 09:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:30:00",1,T-V-MNSP1,19,165.68,180.49,2.8,"2017/06/01 09:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:30:00",1,V-S-MNSP1,19,5.67,-1.61,0.02,"2017/06/01 09:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:30:00",1,V-SA,19,163.29,171.52,4.06,"2017/06/01 09:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 09:30:00",1,VIC1-NSW1,19,-14.46,20.6,-0.74,"2017/06/01 09:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:00:00",1,N-Q-MNSP1,20,-127.03,-138.47,6.13,"2017/06/01 09:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:00:00",1,NSW1-QLD1,20,-1044.65,-1012,65.68,"2017/06/01 09:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:00:00",1,T-V-MNSP1,20,231.42,226.58,4.76,"2017/06/01 09:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:00:00",1,V-S-MNSP1,20,-2.27,-4.35,-0.13,"2017/06/01 09:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:00:00",1,V-SA,20,175.53,187.11,5.27,"2017/06/01 09:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:00:00",1,VIC1-NSW1,20,-27.78,-48.17,2.23,"2017/06/01 09:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:30:00",1,N-Q-MNSP1,21,-132.3,-134.65,5.51,"2017/06/01 10:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:30:00",1,NSW1-QLD1,21,-1035.9,-1003.53,65.51,"2017/06/01 10:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:30:00",1,T-V-MNSP1,21,137.43,136.38,1.41,"2017/06/01 10:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:30:00",1,V-S-MNSP1,21,5.05,3.26,0.2,"2017/06/01 10:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:30:00",1,V-SA,21,194.9,179.93,5.26,"2017/06/01 10:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 10:30:00",1,VIC1-NSW1,21,-150.96,-143.52,7.46,"2017/06/01 10:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:00:00",1,N-Q-MNSP1,22,-132.7,-132.97,5.16,"2017/06/01 10:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:00:00",1,NSW1-QLD1,22,-1030.87,-997.52,65.9,"2017/06/01 10:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:00:00",1,T-V-MNSP1,22,165.4,170.45,2.36,"2017/06/01 10:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:00:00",1,V-S-MNSP1,22,-1.46,-4.29,-0.12,"2017/06/01 10:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:00:00",1,V-SA,22,144.72,125.24,2.68,"2017/06/01 10:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:00:00",1,VIC1-NSW1,22,-280.15,-284.86,17.65,"2017/06/01 10:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:30:00",1,N-Q-MNSP1,23,-124.1,-122.96,3.4,"2017/06/01 11:25:04"
