C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202740,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAIL,3,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MOR1,2,VMWT1,66,90,N,GENERATOR,90,SLOW,,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MOR2,2,VMWP4,220,30,N,GENERATOR,30,SLOW,,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MOR3,2,VMWP5,220,75,N,GENERATOR,75,SLOW,,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MORNL1,2,VMWTL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",TBLD,2,QTUL1,66,7,N,GENERATOR,7,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",OSB01,2,SNBN1,66,118,N,GENERATOR,118,SLOW,,,N,BATCH,"1998/11/02 12:11:48","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",OSB02,2,SNBN2,66,62,N,GENERATOR,62,SLOW,,,N,BATCH,"1998/11/02 12:11:48","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HWPNL1,2,VHWPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HWPS1,2,VHWP1,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HWPS2,2,VHWP2,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HWPS3,2,VHWP3,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HWPS6,2,VHWP6,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HWPS8,2,VHWP8,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LYA1,2,VLYP1,500,500,Y,GENERATOR,530,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LYA2,2,VLYP2,500,500,Y,GENERATOR,530,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LYA3,2,VLYP3,500,500,Y,GENERATOR,530,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LYNL1,2,VLYPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BAYNL1,2,NBAYL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BW01,2,NBAY1,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BW02,2,NBAY2,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BW03,2,NBAY3,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BW04,2,NBAY4,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LD01,2,NLDP1,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LD02,2,NLDP2,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LD03,2,NLDP3,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LD04,2,NLDP4,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,
