DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17
LK_ECHO,LK_ECHO,Lake Echo Power Station,TAS1,TAS,425.0,Hydro,Hydro,0.0,SCHEDULED,32.0,0.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,160.0,64.0,96.0,7.0,0.0,0.0,0.0,7.0
BASTYAN,BASTYAN,Bastyan Power Station,TAS1,TAS,431.0,Hydro,Hydro,0.0,SCHEDULED,80.0,0.05600000000000001,740.0,740.0,1790.0,1790.0,1.0,1.0,400.0,160.0,240.0,7.0,0.0,0.0,0.0,7.0
MINTARO,MINTARO,Mintaro Gas Turbine Station,SA1,NSA,868.0,Natural Gas (Pipeline),Fossil,0.9619,SCHEDULED,90.0,0.0,300.0,300.0,300.0,300.0,1.0,1.0,9000.0,9000.0,9000.0,10.4,12.85714286,0.3,7.082565617,101.46155795309305
EILDON1,EILDON,EILDON POWER STATION,VIC1,NVIC,199.0,Hydro,Hydro,0.0,SCHEDULED,60.0,18.0,900.0,900.0,900.0,900.0,1.0,1.0,300.0,120.0,180.0,7.0,0.0,0.0,0.0,7.0
EILDON2,EILDON,EILDON POWER STATION,VIC1,NVIC,199.0,Hydro,Hydro,0.0,SCHEDULED,60.0,18.0,900.0,900.0,900.0,900.0,1.0,1.0,300.0,120.0,180.0,7.0,0.0,0.0,0.0,7.0
UPPTUMUT,SNOWY2,Tumut Power Station,NSW1,CAN,507.0,Hydro,Hydro,0.0,SCHEDULED,616.0,0.0,7630.0,1840.0,7790.0,1800.0,1.0,1.0,3080.0,1232.0,1848.0,7.0,0.0,0.0,0.0,7.0
GORDON,GORDON,Gordon Power Station,TAS1,TAS,940.0,Hydro,Hydro,0.0,SCHEDULED,432.0,0.0,2890.0,2780.0,5250.0,140.0,1.0,1.0,2160.0,864.0,1296.0,7.0,0.0,0.0,0.0,7.0
MOREESF1,MOREESF,MOREE SOLAR FARM,NSW1,NNS,567.0,Solar,Solar,0.0,SEMI-SCHEDULED,57.0,0.0,3600.0,3600.0,3600.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0
TREVALLN,TREVALLN,Trevallyn Power Station,TAS1,TAS,696.0,Hydro,Hydro,0.0,SCHEDULED,93.0,0.0,500.0,500.0,1710.0,1710.0,1.0,1.0,465.0,186.0,279.0,7.0,0.0,0.0,0.0,7.0
TVCC201,TVCCPS,Tamar Valley Combined Cycle Power Station,TAS1,TAS,374.0,Natural Gas (Pipeline),Fossil,0.45191000000000003,SCHEDULED,208.0,0.0,430.0,430.0,110.0,540.0,4.0,4.0,5200.0,1040.0,3120.0,7.0,7.5,0.3,6.617023256,56.627674420000005
